dist,obs,p,s,cutoff,percent_out,Percent_CC,Detect_R,Percent_FP,Percent_FN
Lognormal,50,50,0,5.908253,0.05,96.164,100,3.836,0
Lognormal,50,50,0.1,6.312387,0.05,95.924,100,4.076,0
Lognormal,50,50,0.25,9.230073,0.05,96.35,100,3.65,0
Lognormal,50,50,0.5,17.71826,0.05,96.06,98.85,3.894,1.15
Lognormal,50,50,0.75,43.10547,0.05,95.502,89.75,4.088,10.25
Lognormal,50,100,0,5.189225,0.05,95.848,100,4.152,0
Lognormal,50,100,0.1,5.978595,0.05,96.082,100,3.918,0
Lognormal,50,100,0.25,9.248054,0.05,96.246,100,3.754,0
Lognormal,50,100,0.5,18.68066,0.05,95.914,99.7,4.074,0.3
Lognormal,50,100,0.75,48.289,0.05,95.766,95.15,4.04,4.85
Lognormal,100,100,0,5.595361,0.05,96.359,100,3.641,0
Lognormal,100,100,0.1,5.984619,0.05,96.213,100,3.787,0
Lognormal,100,100,0.25,8.565816,0.05,96.14,100,3.86,0
Lognormal,100,100,0.5,16.4405,0.05,96.207,99.82,3.784,0.18
Lognormal,100,100,0.75,40.80078,0.05,96.026,94.72,3.71,5.28
Lognormal,500,100,0.75,30,0.05,96.2036,95.496,3.5712,4.504
Lognormal,500,500,0.75,30,0.05,95.8668,98.08,4.0372,1.92
Lognormal,500,1000,0.75,30,0.05,95.8582,98.588,4.0712,1.412
Lognormal,500,1500,0.75,33,0.05,96.2242,98.452,3.6984,1.548
Lognormal,354,1917,0,3.674127,0.05,96.09067797,100,3.909322034,0
Lognormal,354,1917,0.1,5.171998,0.05,96.53531073,100,3.464689266,0
Lognormal,354,1917,0.25,8.121019,0.05,96.27711864,100,3.722881356,0
Lognormal,354,1917,0.5,15.59099,0.05,96.21129944,99.98333333,3.787853107,0.016666667
Lognormal,354,1917,0.75,33,0.05,96.06271186,98.95,3.883898305,1.05
Lognormal,500,2000,0,3.793887,0.05,96.4204,100,3.5796,0
Lognormal,500,2000,0.1,5.05153,0.05,96.3776,100,3.6224,0
Lognormal,500,2000,0.25,7.977355,0.05,96.2098,100,3.7902,0
Lognormal,500,2000,0.5,15.21499,0.05,96.1342,99.94,3.8628,0.06
Lognormal,500,2000,0.75,30,0.05,95.8196,98.716,4.1162,1.284
Normal,50,50,0,2.573894,0.05,95.918,100,4.082,0
Normal,50,50,0.1,2.969817,0.05,96.17,100,3.83,0
Normal,50,50,0.25,4.563534,0.05,96.314,100,3.686,0
Normal,50,50,0.5,6.764683,0.05,96.144,100,3.856,0
Normal,50,50,0.75,8.235724,0.05,95.938,99.85,4.056,0.15
Normal,50,100,0,2.491684,0.05,95.89,100,4.11,0
Normal,50,100,0.1,3.114838,0.05,96.006,100,3.994,0
Normal,50,100,0.25,4.604037,0.05,95.312,100,4.688,0
Normal,50,100,0.5,7.288551,0.05,96.128,100,3.872,0
Normal,50,100,0.75,8.287888,0.05,95.65,100,4.35,0
Normal,100,100,0,2.541206,0.05,96.328,100,3.672,0
