dist,obs,p,s,cutoff,percent_out,Percent_CC,Detect_R,Percent_FP,Percent_FN
Lognormal,50,50,0,40.625,0.05,95.224,100,4.776,0
Lognormal,50,50,0.1,63.3025,0.05,95.5,100,4.5,0
Lognormal,50,50,0.25,104.054597,0.05,95.96,100,4.04,0
Lognormal,50,50,0.5,148.2033477,0.05,96.026,100,3.974,0
Lognormal,50,50,0.75,103.3582886,0.05,95.632,98.85,4.322,1.15
Lognormal,50,100,0,40.625,0.05,95.698,100,4.302,0
Lognormal,50,100,0.1,69.93295,0.05,95.61,100,4.39,0
Lognormal,50,100,0.25,110.344709,0.05,95.61,100,4.39,0
Lognormal,50,100,0.5,150.7335938,0.05,95.746,100,4.254,0
Lognormal,50,100,0.75,93.7434834,0.05,95.58,99.3,4.392,0.7
Lognormal,100,100,0,30.3125,0.05,95.137,100,4.863,0
Lognormal,100,100,0.1,64.65125,0.05,96.327,100,3.673,0
Lognormal,100,100,0.25,100.45,0.05,95.884,100,4.116,0
Lognormal,100,100,0.5,129.6464571,0.05,95.979,100,4.021,0
Lognormal,100,100,0.75,77.8580592,0.05,95.969,99.28,3.995,0.72
Lognormal,500,100,0.75,67.5,0.05,96.2004,99.428,3.771,0.572
Lognormal,500,500,0.75,45,0.05,96.1374,99.836,3.8544,0.164
Lognormal,500,1000,0.75,35,0.05,95.9422,98.528,3.9842,1.472
Lognormal,500,1500,0.75,30,0.05,95.8312,98.556,4.0966,1.444
Lognormal,354,1917,0,85.4168,0.05,95.91129944,100,4.088700565,0
Lognormal,354,1917,0.1,85.416,0.05,95.87881,100,4.121186,0
Lognormal,354,1917,0.25,117.5,0.05,95.8319209,100,4.168079096,0
Lognormal,354,1917,0.5,85,0.05,96.1259887,99.98888889,3.873446328,0.011111111
Lognormal,354,1917,0.75,28.25,0.05,96.02372881,98.89444444,3.920056497,1.105555556
Lognormal,500,2000,0,23.6875,0.05,95.653,100,4.347,0
Lognormal,500,2000,0.1,86.38969,0.05,95.6282,100,4.3718,0
Lognormal,500,2000,0.25,115,0.05,95.7736,100,4.2264,0
Lognormal,500,2000,0.5,80,0.05,95.8864,99.936,4.1104,0.064
Lognormal,500,2000,0.75,25.5,0.05,95.6032,98.804,4.337,1.196
Normal,50,50,0,2.5,0.05,95.592,100,4.408,0
Normal,50,50,0.1,2.847257,0.05,95.26,100,4.74,0
Normal,50,50,0.25,4.813691,0.05,95.72,100,4.28,0
Normal,50,50,0.5,8.3984375,0.05,96.06,99.9,3.936,0.1
Normal,50,50,0.75,7.4876183,0.05,95.884,88.6,3.66,11.4
Normal,50,100,0,2.5,0.05,95.338,100,4.662,0
Normal,50,100,0.1,3.344833,0.05,95.71,100,4.29,0
Normal,50,100,0.25,6.073904,0.05,95.636,100,4.364,0
Normal,50,100,0.5,9.3310547,0.05,95.714,99.65,4.272,0.35
Normal,50,100,0.75,6.8734357,0.05,95.908,89.35,3.666,10.65
Normal,100,100,0,1.937439,0.05,94.971,100,5.029,0
Normal,100,100,0.1,2.627075,0.05,95.28,100,4.72,0
Normal,100,100,0.25,4.892578,0.05,95.647,100,4.353,0
Normal,100,100,0.5,8.2836739,0.05,97.219,99.92,2.777,0.08
Normal,100,100,0.75,4.8681664,0.05,96.724,94.28,2.99,5.72
Normal,500,100,0.75,3.462148,0.05,97.1374,97.828,2.754,2.172
Normal,500,500,0.75,2.117188,0.05,97.1026,99.204,2.8576,0.796
Normal,500,1000,0.75,1.597363,0.05,96.8332,94.944,2.914,5.056
Normal,500,1500,0.75,1.292188,0.05,96.5146,95.484,3.2596,4.516
Normal,354,1917,0,1.4625,0.05,95.35141243,100,4.648587571,0
Normal,354,1917,0.1,5.626953,0.05,95.57514124,100,4.424858757,0
Normal,354,1917,0.25,7.4375,0.05,96.14971751,100,3.850282486,0
Normal,354,1917,0.5,4.3125,0.05,97.03446328,99.9,2.960451977,0.1
Normal,354,1917,0.75,1.212625,0.05,96.50480226,96.1,3.296892655,3.9
Normal,500,2000,0,1.546875,0.05,95.6486,100,4.3514,0
Normal,500,2000,0.1,5.720215,0.05,95.636,100,4.364,0
Normal,500,2000,0.25,7.626953,0.05,96.488,100,3.512,0
Normal,500,2000,0.5,4.101238,0.05,96.9264,99.724,3.0598,0.276
Normal,500,2000,0.75,1.203613,0.05,96.8136,95.4,2.9564,4.6
T,50,50,0,9.625,0.05,95.326,100,4.674,0
T,50,50,0.1,9.082947,0.05,95.616,100,4.384,0
T,50,50,0.25,8.264255,0.05,95.682,100,4.318,0
T,50,50,0.5,8.331787,0.05,95.88,99,4.08,1
T,50,50,0.75,7.285552,0.05,95.41,83.45,3.928,16.55
T,50,100,0,12.75,0.05,95.636,100,4.364,0
T,50,100,0.1,10.70105,0.05,95.45,100,4.55,0
T,50,100,0.25,9.097193,0.05,95.51,100,4.49,0
