dist,obs,p,s,percent_out,Percent_CC,Detect_R,Percent_FP,Percent_FN,cutoff,Method
Lognormal,100,100,0.1,0,93.061,NA,6.939,NA,4.964103257,OCP
Lognormal,100,100,0.1,0.05,95.17,100,4.83,0,5.266678984,OCP
Lognormal,100,100,0.1,0.2,99.455,100,0.545,0,8.348424378,OCP
Lognormal,100,100,0.25,0,91.341,NA,8.659,NA,5.809758838,OCP
Lognormal,100,100,0.25,0.05,93.808,100,6.192,0,6.250384963,OCP
Lognormal,100,100,0.25,0.2,99.317,100,0.683,0,10.95722544,OCP
Lognormal,100,100,0.5,0,88.751,NA,11.249,NA,7.985104343,OCP
Lognormal,100,100,0.5,0.05,91.901,100,8.099,0,8.852213336,OCP
Lognormal,100,100,0.5,0.2,98.943,99.885,1.034,0.115,18.370194,OCP
Lognormal,100,100,0.75,0,86.43,NA,13.57,NA,14.06641946,OCP
Lognormal,100,100,0.75,0.05,90.021,99.86,9.972,0.14,15.62512863,OCP
Lognormal,100,100,0.75,0.2,98.131,97.84,1.437,2.16,35.6659286,OCP
Lognormal,500,2000,0.1,0,94.3948,NA,5.6052,NA,4.702342992,OCP
Lognormal,500,2000,0.1,0.05,96.1416,100,3.8584,0,4.923313654,OCP
Lognormal,500,2000,0.1,0.2,99.6524,100,0.3476,0,7.369888506,OCP
Lognormal,500,2000,0.25,0,91.6252,NA,8.3748,NA,5.54238229,OCP
Lognormal,500,2000,0.25,0.05,93.9856,100,6.0144,0,5.966973866,OCP
Lognormal,500,2000,0.25,0.2,99.2374,100,0.7626,0,10.46285666,OCP
Lognormal,500,2000,0.5,0,88.9234,NA,11.0766,NA,7.248010143,OCP
Lognormal,500,2000,0.5,0.05,91.7394,99.984,8.2598,0.016,7.987503473,OCP
Lognormal,500,2000,0.5,0.2,98.6804,99.817,1.283,0.183,17.03950012,OCP
Lognormal,500,2000,0.75,0,86.8626,NA,13.1374,NA,10.78496204,OCP
Lognormal,500,2000,0.75,0.05,90.1242,99.604,9.856,0.396,12.15110837,OCP
Lognormal,500,2000,0.75,0.2,97.678,97.248,1.7716,2.752,28.67650157,OCP
Normal,100,100,0.1,0,97.319,NA,2.681,NA,4.065394732,OCP
Normal,100,100,0.1,0.05,98.213,100,1.787,0,4.176417037,OCP
Normal,100,100,0.1,0.2,99.867,100,0.133,0,5.297462084,OCP
Normal,100,100,0.25,0,93.746,NA,6.254,NA,4.554944904,OCP
Normal,100,100,0.25,0.05,95.622,100,4.378,0,4.805067499,OCP
Normal,100,100,0.25,0.2,99.703,100,0.297,0,7.431201078,OCP
Normal,100,100,0.5,0,92.331,NA,7.669,NA,5.766341595,OCP
Normal,100,100,0.5,0.05,94.807,100,5.193,0,6.211538191,OCP
Normal,100,100,0.5,0.2,99.623,99.705,0.318,0.295,9.687832413,OCP
