,X,h,corr,obs,p,dist,avg_FP
1,1,3.821563872,0.43317972,260,375,Normal,0.095734615
2,2,3.366680594,0.357763666,419,241,Lognormal,0.012126492
3,3,3.300461803,0.458712811,454,319,T,0.057568282
4,4,2.55081668,0.24758274,51,59,Lognormal,0.044843137
5,5,2.906290544,0.428633593,111,94,Normal,0.109045045
6,6,2.582030157,0.353988442,228,130,T,0.081447368
7,7,2.572318249,0.435987582,359,688,Normal,0.184869081
8,8,3.231272778,0.524609601,318,626,T,0.0775
9,9,2.664686501,0.514484885,342,194,Lognormal,0.040751462
10,10,3.205911342,0.787052285,263,159,Lognormal,0.051745247
11,11,2.547469586,0.663572096,176,266,Normal,0.140238636
12,12,3.481981425,0.616787399,242,326,T,0.055731405
13,13,3.115067324,0.343612171,572,970,T,0.07815035
14,14,3.122447908,0.41436915,446,581,Lognormal,0.034038117
15,15,2.981446055,0.366839294,623,334,Normal,0.142683788
16,16,2.613849577,0.443328682,812,425,Lognormal,0.05345936
17,17,2.523805926,0.516910908,750,561,T,0.117821333
18,18,2.958501845,0.498134953,508,659,Normal,0.152755906
19,19,4.204596397,0.537356354,439,253,Normal,0.059530752
20,20,3.690588757,0.580134678,394,759,T,0.065395939
21,21,3.591467209,0.60314913,642,418,Lognormal,0.020358255
22,22,2.933802417,0.712978211,742,379,Normal,0.107442049
23,23,2.653931955,0.796898412,536,313,Lognormal,0.105643657
24,24,2.717956477,0.674539531,698,642,T,0.118717765
25,25,3.391771661,0.798101441,384,694,Normal,0.084067708
26,26,2.562031916,0.767675532,418,591,T,0.131933014
27,27,3.044295259,0.590873091,496,284,Lognormal,0.031181452
28,28,2.971375833,0.63909221,671,1308,T,0.121837556
29,29,2.600315596,0.605503979,529,838,Normal,0.172172023
30,30,2.782343515,0.788544194,633,820,Lognormal,0.162546603
31,31,2.587655807,0.65347495,994,1047,Lognormal,0.130012072
32,32,3.249630717,0.789068991,795,1567,Normal,0.126588679
33,33,2.502404743,0.770671775,828,1395,T,0.167574879
34,34,3.546166071,0.622421702,981,610,T,0.06612946
35,35,3.317372353,0.78128002,837,486,Normal,0.073216249
36,36,3.026940108,0.764768116,992,689,Lognormal,0.105139113
37,37,3.20542369,0.673289171,990,1910,Normal,0.146647475
38,38,3.586200746,0.79158768,939,1876,Lognormal,0.16843344
39,39,3.517292458,0.654623987,893,1688,T,0.102008959
40,40,4.565742121,0.500382453,998,1963,Normal,0.09696994
41,41,4.038211516,0.631264536,972,1477,T,0.074289095
42,42,4.125403697,0.576778602,884,1716,Lognormal,0.056688914
43,43,3.721936298,0.452871476,996,827,T,0.057553213
44,44,3.38193877,0.483160207,708,595,Normal,0.125978814
45,45,3.178556406,0.432355672,892,460,Lognormal,0.025928251
46,46,3.83088594,0.403563265,640,751,Lognormal,0.015651563
47,47,3.27291988,0.426977384,581,1147,Normal,0.149788296
48,48,3.194240092,0.502908217,620,944,T,0.087709677
49,49,3.129349667,0.618646813,828,991,Normal,0.138388889
50,50,3.190803484,0.586523506,751,1433,T,0.106764314
51,51,3.409466394,0.573280247,784,1129,Lognormal,0.063225765
52,52,3.537046011,0.420090327,826,1330,Lognormal,0.039297821
53,53,3.738419361,0.392074493,684,1358,Normal,0.130176901
54,54,3.652323129,0.485446684,965,1346,T,0.073967876
55,55,2.579792982,0.407992962,977,1835,Normal,0.200885363
56,56,2.984496158,0.384344048,985,1264,Lognormal,0.058813198
57,57,3.358550624,0.397306005,903,1749,T,0.084602436
58,58,2.518105316,0.582589612,987,1537,T,0.150094225
59,59,2.926333245,0.513617846,803,1593,Lognormal,0.097234122
60,60,3.047470805,0.542277055,946,1492,Normal,0.160035941
61,61,2.560643927,0.559404022,649,1248,T,0.138978428
62,62,2.847914562,0.59227715,842,720,Lognormal,0.073830166
63,63,2.628725697,0.47498216,962,741,Normal,0.179659044
64,64,2.516574177,0.316707344,887,995,Lognormal,0.073889515
65,65,2.991436064,0.223927365,938,808,Normal,0.154081023
66,66,2.915549147,0.400812746,922,1080,T,0.096244035
67,67,3.0657236,0.126571061,720,1326,T,0.072198611
68,68,2.75106447,0.11401467,949,1355,Lognormal,0.051410959
69,69,3.014461705,0.198989797,746,1018,Normal,0.153699732
70,70,2.839953377,0.137583663,995,1945,Normal,0.164554774
71,71,2.586056888,0.236226066,851,1571,T,0.109157462
72,72,3.286373339,0.107505702,763,1526,Lognormal,0.029116645
73,73,3.078232981,0.321547369,766,744,Lognormal,0.034720627
74,74,2.969158374,0.123840012,909,518,T,0.062583058
75,75,3.401060923,0.177295628,988,756,Normal,0.11955668
76,76,3.633568295,0.108291236,490,644,Normal,0.076283673
77,77,3.158170882,0.215047749,353,359,T,0.053280453
78,78,3.875127834,0.246101512,507,332,Lognormal,0.005794872
79,79,3.35527284,0.27613937,681,1222,Lognormal,0.031891336
80,80,3.647800495,0.247892973,599,1192,T,0.052587646
81,81,3.570610739,0.162844755,553,871,Normal,0.111855335
82,82,2.896845478,0.191169867,580,729,Lognormal,0.038406897
83,83,2.565033591,0.114832476,713,408,T,0.083464236
84,84,2.711598039,0.102191717,665,919,Normal,0.128720301
85,85,2.661520097,0.258177916,436,852,Normal,0.180091743
86,86,2.868992165,0.104983188,399,220,T,0.058877193
87,87,2.740052237,0.158436153,142,120,Lognormal,0.037309859
88,88,5.474502651,0.124467516,991,1481,Normal,0.056601413
89,89,4.824334316,0.187361082,993,1150,Lognormal,0.00292145
90,90,5.0101753,0.119239083,802,932,T,0.015351621
91,91,4.352818777,0.229777358,969,1738,Normal,0.110696594
